X1,X2,X3,X4,X5,X6,y
214.076,4,AGUIX,right pelvis,26201,3.1,2.487453
255.02,4,AGUIX,right pelvis,26608,2.9,2.817551
399.593,4,AGUIX,right pelvis,26599,3.22,5.66237
223.294,4,AGUIX,right pelvis,26285,2.7,2.905392
155.142,4,AGUIX,right pelvis,26684,3.52,1.64177
316.052,4,AGUIX,right pelvis,26375,3.23,4.112736
182.868,5,AGUIX,right pelvis,26201,3.1,1.658019
166.435,5,AGUIX,right pelvis,26608,2.9,1.323129
372.052,5,AGUIX,right pelvis,26599,3.22,5.421333
547.809,5,AGUIX,right pelvis,26285,2.7,8.589412
242.655,5,AGUIX,right pelvis,26684,3.52,2.998053
411.401,5,AGUIX,right pelvis,26375,3.23,5.232547
